Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent,_segment_reel_pour_validation
2379,Frank O.,61,Male,Houston,2021-12-26,1056.15,Loyal Saver
2380,Leo P.,20,Male,Los Angeles,2023-03-23,257.28,Occasional
2381,Henry Q.,30,Female,Chicago,2023-08-14,6003.66,VIP
2382,Eva R.,19,Male,Los Angeles,2023-05-19,1017.74,Young Active
2383,Alice S.,23,Male,Houston,2023-07-30,2745.63,Young Active
2384,Leo T.,58,Male,Los Angeles,2022-11-02,3927.29,Loyal Saver
2385,Karen U.,24,Male,San Diego,2022-03-24,1679.41,Young Active
2386,Eva V.,63,Female,San Antonio,2023-02-22,2445.18,Loyal Saver
2387,Rita W.,37,Male,San Antonio,2023-10-20,364.2,Occasional
2388,Rita X.,43,Female,Philadelphia,2023-02-12,550.38,Occasional
2389,Ivy Y.,40,Female,Philadelphia,2022-12-20,2889.04,Loyal Saver
2390,Grace Z.,47,Female,San Antonio,2023-11-12,1067.0,Loyal Saver
2391,Nina A.,41,Male,Los Angeles,2023-03-24,2507.08,Loyal Saver
2392,Tina B.,46,Male,San Antonio,2022-04-03,463.24,Occasional
2393,Grace C.,39,Female,Los Angeles,2022-01-13,120.26,Occasional
2394,Sam D.,48,Female,Houston,2023-09-15,1752.08,Loyal Saver
2395,Mona E.,53,Male,Philadelphia,2022-10-06,29.87,Occasional
2396,Diana F.,59,Female,New York,2023-05-28,2573.67,Loyal Saver
2397,Rita G.,51,Male,Los Angeles,2023-04-27,1664.31,Loyal Saver
2398,Quinn H.,29,Male,New York,2023-04-24,212.14,Occasional
2399,Paul I.,69,Male,Los Angeles,2022-06-28,2064.78,Loyal Saver
2400,Charlie J.,53,Male,Chicago,2023-02-07,1364.05,Loyal Saver
